env,room,query_id,model,edt_s,c50_db,t60_pct
haa,class_room,mic231,simplevit,0.223129,3.45655,5.02352
haa,class_room,mic232,simplevit,0.206803,2.85726,11.4206
haa,class_room,mic234,simplevit,0.108844,1.9684,8.03432
haa,class_room,mic235,simplevit,0.114558,1.13376,3.74282
haa,class_room,mic236,simplevit,0.0367347,0.633663,3.73655
haa,class_room,mic238,simplevit,0.0927891,1.96129,2.94991
haa,class_room,mic239,simplevit,0.0427211,0.14708,0.78172
haa,class_room,mic240,simplevit,0.0946939,0.690572,1.85471
haa,class_room,mic242,simplevit,0.172517,2.13509,8.56758
haa,class_room,mic243,simplevit,0.0201361,0.804626,2.00302
haa,class_room,mic244,simplevit,0.0234014,0.0882727,4.65696
haa,class_room,mic246,simplevit,0.017415,0.722823,3.18749
haa,class_room,mic247,simplevit,0.0778231,1.81093,1.04313
haa,class_room,mic248,simplevit,0.128163,3.59211,5.2127
haa,class_room,mic250,simplevit,0.152381,2.16307,3.9253
haa,class_room,mic251,simplevit,0.0334694,0.508423,4.3254
haa,class_room,mic252,simplevit,0.164354,3.95087,3.82104
haa,class_room,mic254,simplevit,0.0239456,0.819738,2.99474
haa,class_room,mic255,simplevit,0.154014,1.22116,5.51698
haa,class_room,mic256,simplevit,0.00571429,0.545817,2.84439
haa,class_room,mic258,simplevit,0.0704762,2.3616,1.7607
haa,class_room,mic259,simplevit,0.256327,5.21406,4.19138
haa,class_room,mic260,simplevit,0.191293,4.4939,5.40111
haa,class_room,mic262,simplevit,0.132517,3.30482,4.93177
haa,class_room,mic263,simplevit,0.0285714,1.07429,0.356205
haa,class_room,mic264,simplevit,0.0832653,1.65586,0.351526
haa,class_room,mic266,simplevit,0.10585,2.52666,0.0949848
haa,class_room,mic267,simplevit,0.0585034,2.18929,2.19331
haa,class_room,mic268,simplevit,0.126259,2.08396,0.33532
haa,class_room,mic270,simplevit,0.0391837,1.39085,3.60116
haa,class_room,mic271,simplevit,0.00598639,1.60731,4.87718
haa,class_room,mic272,simplevit,0.0677551,1.62712,3.85381
haa,class_room,mic274,simplevit,0.032381,0.852923,2.75527
haa,class_room,mic275,simplevit,0.0356463,1.26494,1.8434
haa,class_room,mic276,simplevit,0.101224,0.4929,4.45703
haa,class_room,mic278,simplevit,0.0261224,0.287357,1.27801
haa,class_room,mic279,simplevit,0.0144218,0.172208,1.02211
haa,class_room,mic280,simplevit,0.102313,0.826604,2.354
haa,class_room,mic282,simplevit,0.0146939,0.675398,2.79545
haa,class_room,mic283,simplevit,0.0361905,0.370732,0.71442
haa,class_room,mic284,simplevit,0.0334694,0.460942,0.392891
haa,class_room,mic286,simplevit,0.0117007,0.50587,0.356139
haa,class_room,mic288,simplevit,0.0696599,0.0356548,2.19903
haa,class_room,mic289,simplevit,0.0565986,0.443455,8.18702
haa,class_room,mic290,simplevit,0.00408163,0.0860735,3.20649
haa,class_room,mic292,simplevit,0.0141497,0.432161,1.0272
haa,class_room,mic293,simplevit,0.00517007,0.022734,4.99803
haa,class_room,mic294,simplevit,0.0878912,0.0474355,5.25807
haa,class_room,mic296,simplevit,0.0342857,0.133244,5.50586
haa,class_room,mic297,simplevit,0.0187755,0.214128,6.46252
haa,class_room,mic298,simplevit,0.0661224,0.244091,8.65195
haa,class_room,mic300,simplevit,0.0576871,0.880664,4.29543
haa,class_room,mic301,simplevit,0.00462585,0.29661,1.1866
haa,class_room,mic302,simplevit,0.0345578,0.744648,1.80688
haa,class_room,mic304,simplevit,0.0840816,0.905823,0.438179
haa,class_room,mic305,simplevit,0.0386395,0.655078,0.661001
haa,class_room,mic306,simplevit,0.0677551,0.7594,3.99147
haa,class_room,mic308,simplevit,0.00544218,0.246322,0.965909
haa,class_room,mic309,simplevit,0.0489796,1.07768,5.57409
haa,class_room,mic310,simplevit,0.00653061,1.20072,4.00371
haa,class_room,mic312,simplevit,0.0282993,0.87593,0.664011
haa,class_room,mic313,simplevit,0.0152381,0.234284,4.19634
haa,class_room,mic314,simplevit,0.0111565,0.341947,1.04325
haa,class_room,mic316,simplevit,0.0993197,2.49807,9.65306
haa,class_room,mic317,simplevit,0.250612,4.45458,10
haa,class_room,mic318,simplevit,0.260952,4.72753,10.2534
haa,class_room,mic320,simplevit,0.0957823,2.44864,6.95776
haa,class_room,mic321,simplevit,0.253605,4.19881,8.56327
haa,class_room,mic322,simplevit,0.143673,3.31733,5.79102
haa,class_room,mic324,simplevit,0.0157823,0.916214,1.54597
haa,class_room,mic325,simplevit,0.143129,3.5276,9.42557
haa,class_room,mic326,simplevit,0.0718367,2.63142,1.00658
haa,class_room,mic328,simplevit,0.0990476,2.44022,2.75684
haa,class_room,mic329,simplevit,0.0829932,0.0572115,3.9061
haa,class_room,mic330,simplevit,0.316463,6.61546,2.07612
haa,class_room,mic332,simplevit,0.044898,0.952026,3.5621
haa,class_room,mic333,simplevit,0.0282993,0.222206,15.9335
haa,class_room,mic334,simplevit,0.0312925,0.324501,2.68949
haa,class_room,mic336,simplevit,0.010068,0.594093,0.0380011
haa,class_room,mic337,simplevit,0.0598639,0.286252,2.99121
haa,class_room,mic338,simplevit,0.0122449,0.387249,0.308922
haa,class_room,mic340,simplevit,0.151565,2.43518,6.93926
haa,class_room,mic341,simplevit,0.0223129,0.491943,1.99286
haa,class_room,mic344,simplevit,0.08,0.278794,2.62327
